Year,Title,Distributor,Domestic Gross,Budget,Category,Yanay Watched,Katherine Watched
2021,A Quiet Place Part II*,Paramount,136,61.0,Horror,0,0
2021,Godzilla vs. Kong*,Warner Bros.,100,177.5,Other,1,0
2021,Cruella*,Disney,71,150.0,Other,0,0
2021,F9*,Universal,70,200.0,Other,0,0
2021,The Conjuring: The Devil Made Me Do It*,Warner Bros.,59,39.0,Horror,0,0
2021,Raya and the Last Dragon*,Disney,54,100.0,Animated,1,0
2021,Tom & Jerry*,Warner Bros.,46,79.0,Other,0,0
2021,Mortal Kombat*,Warner Bros.,42,55.0,Other,1,0
2021,Peter Rabbit 2: The Runaway*,Sony Pictures,29,107.9,Other,0,0
2021,Wrath of Man*,MGM,27,40.0,Other,0,0
2020,Bad Boys for Life,Columbia Pictures/Sony,206,90.0,Other,0,0
2020,Sonic the Hedgehog,Paramount,149,87.5,Other,0,0
2020,Birds of Prey,Warner Bros.,84,90.0,Superhero,1,0
2020,Dolittle,Universal,77,175.0,Other,0,0
2020,The Invisible Man,Universal,70,7.0,Horror,0,0
2020,The Call of the Wild,Disney,62,137.5,Other,0,0
2020,Onward,Disney,62,187.5,Animated,0,0
2020,The Croods: A New Age*,Universal,59,65.0,Animated,0,0
2020,Tenet,Warner Bros.,58,200.0,Other,1,0
2020,Wonder Woman 1984,Warner Bros.,47,200.0,Superhero,1,0
2019,Avengers: Endgame,Disney,858,378.0,Superhero,1,1
2019,The Lion King,nan,544,255.0,Other,0,0
2019,Star Wars: The Rise of Skywalker,nan,515,275.0,Other,1,1
2019,Frozen II,nan,477,150.0,Animated,0,1
2019,Toy Story 4,nan,434,200.0,Animated,0,0
2019,Captain Marvel,nan,427,163.5,Superhero,1,0
2019,Spider-Man: Far From Home,Sony,391,160.0,Superhero,1,0
2019,Aladdin,Disney,356,183.0,Other,0,0
2019,Joker,Warner Bros.,335,67.5,Superhero,1,0
2019,Jumanji: The Next Level,Sony,320,128.5,Other,0,0
2018,Black Panther,Disney,700,200.0,Superhero,1,1
2018,Avengers: Infinity War,nan,679,362.5,Superhero,1,0
2018,Incredibles 2,nan,609,200.0,Animated,1,1
2018,Jurassic World: Fallen Kingdom,Universal,418,178.5,Other,1,1
2018,Aquaman,Warner Bros.,335,180.0,Superhero,1,0
2018,Deadpool 2,20th Century Fox,318,110.0,Superhero,1,0
2018,The Grinch,Universal,271,75.0,Other,0,0
2018,Mission: Impossible - Fallout,Paramount,220,178.0,Other,1,0
2018,Ant-Man and the Wasp,Disney,217,162.5,Superhero,1,0
2018,Bohemian Rhapsody,20th Century Fox,216,52.5,Other,1,1
2017,Star Wars: The Last Jedi,Disney,620,258.5,Other,1,1
2017,Beauty and the Beast,nan,504,207.5,Other,0,1
2017,Wonder Woman,Warner Bros.,413,135.0,Superhero,1,1
2017,Jumanji: Welcome to the Jungle,Sony,405,120.0,Other,0,0
2017,Guardians of the Galaxy Vol. 2,Disney,390,200.0,Superhero,1,1
2017,Spider-Man: Homecoming,Sony,334,175.0,Superhero,1,0
2017,It,Warner Bros.,327,35.0,Horror,1,0
2017,Thor: Ragnarok,Disney,315,180.0,Superhero,1,0
2017,Despicable Me 3,Universal,265,80.0,Animated,0,1
2017,Justice League,Warner Bros.,229,300.0,Superhero,1,0
2016,Rogue One: A Star Wars Story,Disney,532,232.5,Other,1,1
2016,Finding Dory,nan,486,187.5,Animated,1,0
2016,Captain America: Civil War,nan,408,250.0,Superhero,1,0
2016,The Secret Life of Pets,Universal,368,75.0,Animated,0,0
2016,The Jungle Book,Disney,364,176.0,Other,0,0
2016,Deadpool,20th Century Fox,363,58.0,Superhero,1,0
2016,Zootopia,Disney,341,150.0,Animated,1,1
2016,Batman v Superman: Dawn of Justice,Warner Bros.,330,275.0,Superhero,1,0
2016,Suicide Squad,nan,325,175.0,Superhero,1,0
2016,Sing,Universal,270,75.0,Animated,0,0
